text,label
This is normal social media post about daily life,0
Join our peaceful community event tomorrow,0
Beautiful sunset at the beach today,0
Had a great time with friends at the park,0
Weather is nice this week,0
New restaurant opening in downtown,0
Discussion about controversial political views,1
Debate about government policies and reforms,1
Online argument about religion and beliefs,1
Strong political opinions about national issues,1
Threatening violence and extremist propaganda,2
Radical ideology and call for attacks,2
Terrorist recruitment message with violent content,2
Plans for bombing and violent extremism,2
Join our militant group for jihad,2
ISIS recruitment and violent propaganda,2
